MIR_ID	Rcc1_miR_prog	Rcc10_miR_nonprog	Rcc11_miR_prog	Rcc12_miR_nonprog	Rcc13_miR_nonprog	Rcc15_miR_nonprog	Rcc16_miR_nonprog	Rcc17_miR_nonprog	Rcc18_miR_nonprog	Rcc19_miR_nonprog	Rcc2_miR_prog	Rcc20_miR_nonprog	Rcc21_miR_nonprog	Rcc22_miR_nonprog	Rcc23_miR_nonprog	Rcc3_miR_prog	Rcc4_miR_nonprog	Rcc5_miR_prog	Rcc7_miR_nonprog	Rcc8_miR_prog	Rcc9_miR_prog
miR-558-3p	19	0	1	0	3	2	5	5	3	0	0	0	4	1	1	4	0	2	0	0	10
miR-181b-1-5p	19	4918.5	3149.5	550	5617	1409	1717	7759	3028	5392.5	2558	94	4224.5	1511.5	1404	1584	733	3630.5	345	12	237.5
miR-6809-3p	19	1	2	3	1	4	4	4	9	6	0	20	0	7	0	2	0	4	2	2	4
miR-12133-5p	19	26	17	7	2	4	2	27	16	12	14	1	5	3	15	19	18	20	9	0	7
miR-3138-5p	19	34	21	2	12	1	19	15	10	21	15	9	14	0	8	10	20	16	2	4	3
miR-135a-1-3p	19	9	2	0	0	0	4	3	2	0	2	1	6	0	2	3	0	3	0	0	2
miR-378i-5p	18.5	18.16666667	11.16666667	15	8.5	37	4	8.833333333	40.16666667	13.16666667	20.16666667	17.5	5.666666667	12	10.66666667	6	0.5	33.83333333	6	8.5	11
miR-3182-3p	18	12	2	15	1	28	25	4	0	3	0	3	4	2	0	9	7	12	10	60	13
miR-320d	18	82	96	111	96	134	69	126	61	123	130	273	113	159	51	78	20	60	120	96	82.4
miR-326-3p	18	38	33	25	73	62	49	60	127	88	64	16	71	33	51	27	25	63	38	4	26
miR-6717-3p	18	3	0	2	4	0	0	0	2	0	1	0	1	1	8	5	0	2	0	0	0
miR-6743-3p	18	13	5	13	10	9	1	7	4	8	28	5	7	4	14	10	1	31	7	25	10
miR-550b-2-5p	18	1	1	0	12	5	1	9	1	2	11	0	1	5	4	7	14	0	6	6	0
miR-3652-5p	18	12	9	10	11.5	8	5	5	22	8	15	9	13	8	13	10	0	15	20	18	36
miR-933-5p	18	5.333333333	10	10	0	16	5	0	2	1	9	5	12	5	6	4	1	8	3	34	13
miR-6880-5p	18	0	0	3	0	9	0	1	0	0	0	12	0	0	2	0	0	0	0	9	4
miR-4679-1-5p	18	8	2	2	2	10	13	5	25	13	9	1	3	0	0	3	0	2	4	12	6
miR-1915-5p	18	98	90	19	10	58	23	77	66	89	75	23	45	27	83	41	87	47	34	31	25
miR-138-2-3p	18	1616	534	386	1251	842	975	2407	682	1457	1440	77	1415	323	830	734	947	1166	98	23	258
miR-658-5p	18	5	13	0	1	1	2	0	3	5	5	3	11	0	3	4	4	3	8	4	6
miR-6834-5p	18	0	0	3	1	0	3	0	0	0	0	0	4	2	0	1	0	0	1	1	5
miR-3195-3p	18	24	23	14	14	48	35	24	37	19	26	20	20	27	31	24	33	36	21	41	56
miR-12121-3p	18	22	22	11	17	28	11	8	35	3	10	18	16	29	110	15	9	51	27	62	81
miR-342-5p	18	92	51	29	130	151	120	129	265	77	114	35	186	44	69	52	12	90	47	6	82
miR-21-3p	18	1074	1307	53	1659	418	392	1344	844	663	298	28	1025	247	457	214	245	1691	66	13	27
miR-4784-5p	18	21	22	4	13	23	10	16	22	39	28	23	13	10	20	13	2	10	18	22	14
miR-363-3p	18	738	330	272	326	1891	390	538	1619	936	351	42	1142	181	533	64	398	978	125	12	104
miR-125a-3p	18	76	36	42	42	21	29	62	123	56	29	35	135	63	54	21	0	60	9	7	27
miR-3615	18	19	4	5	32	8	19	16	20	38	0	14	18	17	0	7	7	26	14	0	5
